rup_mag,dist_rrup,site_vs30,site_backarc,result_type,damping,pgv,pga,0.07,0.14,0.34,0.65,1.25,2.44,5.88,9.09
6.0,500.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,500.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,500.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,500.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,500.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,500.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
6.0,1000.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,1.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,10.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,300.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,50.0,180.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,1000.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,760.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,0.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
7.0,100.0,570.0,1.0,INTRA_EVENT_STDDEV,5.0,0.44900409,0.65393417,0.72070913,0.74603757,0.70689362,0.59176437,0.60097471,0.63321090,0.50196355,0.40295239
