rup_mag,rup_hypo_depth,dist_rjb,site_vs30,site_vs30measured,site_region,result_type,damping,pgv,pga,0.1,0.2,0.5,1.0,2.0,5.0
6.0,15.0,120.0,300.0,1.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,1.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,300.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,300.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,300.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,0,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,1,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,2,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,3,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,4,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,20.0,600.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,50.0,600.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
6.0,15.0,120.0,600.0,0.0,5,TOTAL_STDDEV,5,0.52421308,0.54115474,0.56394403,0.53835414,0.53053559,0.52242369,0.52210248,0.52752489
7.0,15.0,20.0,300.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,1.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,300.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,300.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,300.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,0,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,1,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,2,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,3,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,4,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,20.0,600.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,50.0,600.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
7.0,15.0,120.0,600.0,0.0,5,TOTAL_STDDEV,5,0.50170960,0.50321970,0.52618783,0.48963698,0.48912101,0.48997196,0.50013861,0.51528055
